data,categoria,unidades,preco_medio,receita
2022-01-01,Beleza,236,97.27,22955.72
2022-01-01,Casa & Jardim,93,271.35,25235.55
2022-01-01,Eletrônicos,161,881.55,141929.55
2022-01-01,Esportes,63,344.94,21731.22
2022-01-01,Moda,220,184.2,40524.0
2022-01-02,Beleza,185,96.92,17930.2
2022-01-02,Casa & Jardim,102,249.06,25404.12
2022-01-02,Eletrônicos,147,863.42,126922.74
2022-01-02,Esportes,70,323.13,22619.1
2022-01-02,Moda,248,190.41,47221.68
2022-01-03,Beleza,138,88.54,12218.52
2022-01-03,Casa & Jardim,79,277.85,21950.15
2022-01-03,Eletrônicos,108,789.9,85309.2
2022-01-03,Esportes,47,299.25,14064.75
2022-01-03,Moda,155,189.98,29446.9
2022-01-04,Beleza,122,91.35,11144.7
2022-01-04,Casa & Jardim,88,255.31,22467.28
2022-01-04,Eletrônicos,104,899.8,93579.2
2022-01-04,Esportes,60,344.36,20661.6
2022-01-04,Moda,158,187.35,29601.3
2022-01-05,Beleza,132,93.25,12309.0
2022-01-05,Casa & Jardim,75,271.45,20358.75
2022-01-05,Eletrônicos,138,784.8,108302.4
2022-01-05,Esportes,51,327.67,16711.17
2022-01-05,Moda,177,178.86,31658.22
2022-01-06,Beleza,146,100.09,14613.14
2022-01-06,Casa & Jardim,90,248.95,22405.5
2022-01-06,Eletrônicos,129,913.91,117894.39
2022-01-06,Esportes,46,295.66,13600.36
2022-01-06,Moda,187,187.96,35148.52
2022-01-07,Beleza,174,98.2,17086.8
2022-01-07,Casa & Jardim,85,279.2,23732.0
2022-01-07,Eletrônicos,125,806.73,100841.25
2022-01-07,Esportes,65,308.64,20061.6
2022-01-07,Moda,218,184.5,40221.0
2022-01-08,Beleza,351,91.58,32144.58
2022-01-08,Casa & Jardim,180,266.98,48056.4
2022-01-08,Eletrônicos,295,806.94,238047.3
2022-01-08,Esportes,157,297.55,46715.35
2022-01-08,Moda,424,193.96,82239.04
2022-01-09,Beleza,311,97.11,30201.21
2022-01-09,Casa & Jardim,176,264.64,46576.64
2022-01-09,Eletrônicos,280,840.74,235407.2
2022-01-09,Esportes,115,297.76,34242.4
2022-01-09,Moda,349,192.6,67217.4
2022-01-10,Beleza,222,101.55,22544.1
2022-01-10,Casa & Jardim,136,267.43,36370.48
2022-01-10,Eletrônicos,161,821.61,132279.21
2022-01-10,Esportes,108,329.76,35614.08
2022-01-10,Moda,319,189.15,60338.85
2022-01-11,Beleza,213,87.77,18695.01
2022-01-11,Casa & Jardim,142,278.6,39561.2
2022-01-11,Eletrônicos,173,821.73,142159.29
2022-01-11,Esportes,75,313.02,23476.5
2022-01-11,Moda,271,171.75,46544.25
2022-01-12,Beleza,288,100.11,28831.68
2022-01-12,Casa & Jardim,129,276.01,35605.29
2022-01-12,Eletrônicos,216,831.83,179675.28
2022-01-12,Esportes,119,305.5,36354.5
2022-01-12,Moda,361,186.7,67398.7
2022-01-13,Beleza,293,102.21,29947.53
2022-01-13,Casa & Jardim,126,250.92,31615.92
2022-01-13,Eletrônicos,256,809.16,207144.96
2022-01-13,Esportes,108,316.12,34140.96
2022-01-13,Moda,322,181.22,58352.84
2022-01-14,Beleza,314,97.24,30533.36
2022-01-14,Casa & Jardim,178,279.28,49711.84
2022-01-14,Eletrônicos,236,851.94,201057.84
2022-01-14,Esportes,101,317.27,32044.27
2022-01-14,Moda,374,174.17,65139.58
2022-01-15,Beleza,385,89.35,34399.75
2022-01-15,Casa & Jardim,202,280.39,56638.78
2022-01-15,Eletrônicos,260,864.63,224803.8
2022-01-15,Esportes,146,319.25,46610.5
2022-01-15,Moda,567,181.87,103120.29
2022-01-16,Beleza,328,88.01,28867.28
2022-01-16,Casa & Jardim,213,252.17,53712.21
2022-01-16,Eletrônicos,276,805.19,222232.44
2022-01-16,Esportes,123,322.22,39633.06
2022-01-16,Moda,447,183.93,82216.71
2022-01-17,Beleza,275,92.91,25550.25
2022-01-17,Casa & Jardim,124,257.62,31944.88
2022-01-17,Eletrônicos,189,875.06,165386.34
2022-01-17,Esportes,88,298.8,26294.4
2022-01-17,Moda,318,187.52,59631.36
2022-01-18,Beleza,256,94.38,24161.28
2022-01-18,Casa & Jardim,125,250.06,31257.5
2022-01-18,Eletrônicos,190,841.86,159953.4
2022-01-18,Esportes,88,330.96,29124.48
2022-01-18,Moda,289,165.87,47936.43
2022-01-19,Beleza,282,88.24,24883.68
2022-01-19,Casa & Jardim,153,278.12,42552.36
2022-01-19,Eletrônicos,208,786.68,163629.44
2022-01-19,Esportes,108,314.39,33954.12
2022-01-19,Moda,269,172.7,46456.3
2022-01-20,Beleza,231,101.51,23448.81
2022-01-20,Casa & Jardim,133,246.93,32841.69
2022-01-20,Eletrônicos,189,905.67,171171.63
2022-01-20,Esportes,92,315.69,29043.48
2022-01-20,Moda,314,188.64,59232.96
2022-01-21,Beleza,220,97.14,21370.8
2022-01-21,Casa & Jardim,172,241.77,41584.44
2022-01-21,Eletrônicos,268,824.39,220936.52
2022-01-21,Esportes,90,299.55,26959.5
2022-01-21,Moda,328,171.48,56245.44
2022-01-22,Beleza,350,88.4,30940.0
2022-01-22,Casa & Jardim,178,243.04,43261.12
2022-01-22,Eletrônicos,240,852.73,204655.2
2022-01-22,Esportes,126,310.25,39091.5
2022-01-22,Moda,507,183.34,92953.38
2022-01-23,Beleza,264,102.18,26975.52
2022-01-23,Casa & Jardim,186,245.46,45655.56
2022-01-23,Eletrônicos,233,913.86,212929.38
2022-01-23,Esportes,153,309.05,47284.65
2022-01-23,Moda,428,171.02,73196.56
2022-01-24,Beleza,239,92.8,22179.2
2022-01-24,Casa & Jardim,116,279.47,32418.52
2022-01-24,Eletrônicos,209,887.42,185470.78
2022-01-24,Esportes,114,317.96,36247.44
2022-01-24,Moda,351,181.56,63727.56
2022-01-25,Beleza,184,97.77,17989.68
2022-01-25,Casa & Jardim,130,249.46,32429.8
2022-01-25,Eletrônicos,215,794.03,170716.45
2022-01-25,Esportes,89,295.58,26306.62
2022-01-25,Moda,273,165.75,45249.75
2022-01-26,Beleza,296,91.48,27078.08
2022-01-26,Casa & Jardim,95,258.79,24585.05
2022-01-26,Eletrônicos,213,808.65,172242.45
2022-01-26,Esportes,93,340.31,31648.83
2022-01-26,Moda,283,193.19,54672.77
2022-01-27,Beleza,295,92.2,27199.0
2022-01-27,Casa & Jardim,163,270.56,44101.28
2022-01-27,Eletrônicos,212,834.86,176990.32
2022-01-27,Esportes,96,308.72,29637.12
2022-01-27,Moda,348,176.2,61317.6
2022-01-28,Beleza,310,88.0,27280.0
2022-01-28,Casa & Jardim,175,263.24,46067.0
2022-01-28,Eletrônicos,235,818.9,192441.5
2022-01-28,Esportes,108,300.92,32499.36
2022-01-28,Moda,327,174.4,57028.8
2022-01-29,Beleza,307,96.48,29619.36
2022-01-29,Casa & Jardim,162,255.94,41462.28
2022-01-29,Eletrônicos,263,820.21,215715.23
2022-01-29,Esportes,124,301.27,37357.48
2022-01-29,Moda,394,190.85,75194.9
2022-01-30,Beleza,270,88.57,23913.9
2022-01-30,Casa & Jardim,221,276.0,60996.0
2022-01-30,Eletrônicos,311,855.81,266156.91
2022-01-30,Esportes,135,327.41,44200.35
